ET Cell ID	ET Cell Name	Ref ET MET ID	Met Latitude	Met Longitude	Met Elevation (feet)	Area weighted average Permeability - in/hr	Area weighted average WHC - in/ft	Average soil depth - in	Hydrologic Group (A-C) (A='coarse'  B='medium')	Hydrologic Group  (1-3) (1='coarse' 2='medium')	Aridity Rating (fromHuntington plus google)	Ref ET Data Path
555986	555986	555986	41.775	-116.4333	5097.64	-999	2.0298	60	B	2	50	
555987	555987	555987	41.775	-116.3917	5013.91	-999	2.011	60	B	2	50	
555990	555990	555990	41.775	-116.2667	5382.94	-999	1.8551	60	B	2	50	
557185	557185	557185	41.8167	-124.225	12.58	-999	0.48	60	A	1	50	
557186	557186	557186	41.8167	-124.1833	17.61	-999	1.6774	60	B	2	50	
557187	557187	557187	41.8167	-124.1417	184.49	-999	1.92	60	B	2	50	
557188	557188	557188	41.8167	-124.1	330.71	-999	1.8004	60	B	2	50	
557205	557205	557205	41.8167	-123.3917	1845.47	-999	0.6807	60	A	1	50	
557206	557206	557206	41.8167	-123.35	1833.66	-999	0.6	60	A	1	50	
557226	557226	557226	41.8167	-122.5167	3137.03	-999	1.3687	60	B	2	50	
557227	557227	557227	41.8167	-122.475	2677.82	-999	1.3078	60	B	2	50	
557228	557228	557228	41.8167	-122.4333	2661.97	-999	1.56	60	B	2	50	
557229	557229	557229	41.8167	-122.3917	2865.59	-999	1.6437	60	B	2	50	
557230	557230	557230	41.8167	-122.35	3451.12	-999	1.68	60	B	2	50	
557233	557233	557233	41.8167	-122.225	6717.85	-999	0.72	60	A	1	50	
557234	557234	557234	41.8167	-122.1833	6433.6	-999	1.12	60	A	1	50	
557237	557237	557237	41.8167	-122.0583	4283.46	-999	1.7864	60	A	1	50	
557238	557238	557238	41.8167	-122.0167	4250.92	-999	1.56	60	A	1	50	
557239	557239	557239	41.8167	-121.975	4295.54	-999	1.558	60	A	1	50	
557240	557240	557240	41.8167	-121.9333	4330.31	-999	1.3144	60	A	1	50	
557243	557243	557243	41.8167	-121.8083	4798.95	-999	1.2285	60	B	2	50	
557244	557244	557244	41.8167	-121.7667	4449.74	-999	1.6103	60	A	1	50	
557245	557245	557245	41.8167	-121.725	4306.04	-999	1.0885	60	B	2	50	
557249	557249	557249	41.8167	-121.5583	4291.21	-999	4.0854	60	B	2	50	
557250	557250	557250	41.8167	-121.5167	4079.4	-999	3.9328	60	B	2	50	
557252	557252	557252	41.8167	-121.4333	4083.73	-999	4.1964	60	B	2	50	
557253	557253	557253	41.8167	-121.3917	4048.95	-999	3.1165	60	B	2	50	
557254	557254	557254	41.8167	-121.35	4077.95	-999	3.2956	60	B	2	50	
557255	557255	557255	41.8167	-121.3083	4137.53	-999	1.3724	60	B	2	50	
557268	557268	557268	41.8167	-120.7667	4966.8	-999	1.44	60	B	2	50	
557275	557275	557275	41.8167	-120.475	4790.68	-999	0.933	60	B	2	50	
557277	557277	557277	41.8167	-120.3917	4705.25	-999	1.44	60	B	2	50	
557280	557280	557280	41.8167	-120.2667	5643.44	-999	1.216	60	B	2	50	
557281	557281	557281	41.8167	-120.225	5535.17	-999	1.1982	60	B	2	50	
557308	557308	557308	41.8167	-119.1	5596.85	-999	1.32	60	A	1	50	
557309	557309	557309	41.8167	-119.0583	5146.33	-999	1.32	60	A	1	50	
557310	557310	557310	41.8167	-119.0167	5049.74	-999	1.32	60	A	1	50	
557316	557316	557316	41.8167	-118.7667	4258.66	-999	1.8696	60	B	2	50	
557317	557317	557317	41.8167	-118.725	4303.67	-999	1.9378	60	B	2	50	
557328	557328	557328	41.8167	-118.2667	4429.92	-999	1.528	60	B	2	50	
557329	557329	557329	41.8167	-118.225	4296.33	-999	1.884	60	B	2	50	
557330	557330	557330	41.8167	-118.1833	4505.12	-999	1.8919	60	B	2	50	
557340	557340	557340	41.8167	-117.7667	4313.91	-999	1.68	60	A	1	50	
557341	557341	557341	41.8167	-117.725	4387.4	-999	1.68	60	A	1	50	
557371	557371	557371	41.8167	-116.475	5242.91	-999	2.0367	60	B	2	50	
557372	557372	557372	41.8167	-116.4333	5316.4	-999	2.0325	60	B	2	50	
557373	557373	557373	41.8167	-116.3917	5225.98	-999	1.8342	60	B	2	50	
558572	558572	558572	41.8583	-124.1833	21.22	-999	1.8883	60	B	2	50	
558573	558573	558573	41.8583	-124.1417	98.1	-999	1.88	60	B	2	50	
558574	558574	558574	41.8583	-124.1	637.58	-999	1.8	60	B	2	50	
558590	558590	558590	41.8583	-123.4333	2575.57	-999	0.96	60	A	1	50	
558591	558591	558591	41.8583	-123.3917	2153.87	-999	0.96	60	A	1	50	
558593	558593	558593	41.8583	-123.3083	2114.61	-999	0.96	60	A	1	50	
558613	558613	558613	41.8583	-122.475	2715.22	-999	1.2433	60	B	2	50	
558614	558614	558614	41.8583	-122.4333	2737.64	-999	1.56	60	B	2	50	
558619	558619	558619	41.8583	-122.225	6259.06	-999	0.758	60	A	1	50	
558621	558621	558621	41.8583	-122.1417	4993.18	-999	1.5442	60	A	1	50	
558622	558622	558622	41.8583	-122.1	4246.85	-999	3.8584	60	B	2	50	
558623	558623	558623	41.8583	-122.0583	4233.6	-999	0.7709	60	B	2	50	
558624	558624	558624	41.8583	-122.0167	4239.63	-999	1.636	60	B	2	50	
558625	558625	558625	41.8583	-121.975	4251.71	-999	1.5347	60	A	1	50	
558626	558626	558626	41.8583	-121.9333	4249.21	-999	1.5262	60	A	1	50	
558627	558627	558627	41.8583	-121.8917	4313.25	-999	1.4635	60	A	1	50	
558628	558628	558628	41.8583	-121.85	4850.39	-999	1.1234	60	B	2	50	
558629	558629	558629	41.8583	-121.8083	4708.66	-999	1.5186	60	A	1	50	
558630	558630	558630	41.8583	-121.7667	4176.12	-999	1.726	60	B	2	50	
558631	558631	558631	41.8583	-121.725	4327.82	-999	2.4017	60	B	2	50	
558635	558635	558635	41.8583	-121.5583	4377.56	-999	4.1657	60	B	2	50	
558636	558636	558636	41.8583	-121.5167	4041.34	-999	4.2	60	B	2	50	
558637	558637	558637	41.8583	-121.475	4035.7	-999	4.2	60	B	2	50	
558638	558638	558638	41.8583	-121.4333	4035.17	-999	4.1755	60	B	2	50	
558639	558639	558639	41.8583	-121.3917	4105.51	-999	2.8357	60	B	2	50	
558640	558640	558640	41.8583	-121.35	4040.55	-999	4.1473	60	B	2	50	
558641	558641	558641	41.8583	-121.3083	4129.13	-999	2.6904	60	B	2	50	
558642	558642	558642	41.8583	-121.2667	4490.03	-999	1.44	60	B	2	50	
558654	558654	558654	41.8583	-120.7667	5079.13	-999	1.44	60	B	2	50	
558655	558655	558655	41.8583	-120.725	5024.02	-999	1.44	60	B	2	50	
558665	558665	558665	41.8583	-120.3083	5213.78	-999	1.6149	60	B	2	50	
558666	558666	558666	41.8583	-120.2667	5520.34	-999	1.4029	60	B	2	50	
558691	558691	558691	41.8583	-119.225	5971.92	-999	1.56	60	B	2	50	
558696	558696	558696	41.8583	-119.0167	4922.83	-999	1.32	60	A	1	50	
558714	558714	558714	41.8583	-118.2667	4432.68	-999	1.915	60	B	2	50	
558715	558715	558715	41.8583	-118.225	4446.98	-999	1.7589	60	A	1	50	
559958	559958	559958	41.9	-124.1833	18.15	-999	1.7638	60	B	2	50	
559959	559959	559959	41.9	-124.1417	151.25	-999	1.8688	60	B	2	50	
559976	559976	559976	41.9	-123.4333	2438.87	-999	1.0124	60	A	1	50	
559997	559997	559997	41.9	-122.5583	2432.09	-999	1.08	60	A	1	50	
559998	559998	559998	41.9	-122.5167	2443.57	-999	1.325	60	B	2	50	
559999	559999	559999	41.9	-122.475	2425.09	-999	1.68	60	B	2	50	
560001	560001	560001	41.9	-122.3917	2707.79	-999	1.68	60	B	2	50	
560002	560002	560002	41.9	-122.35	3146.76	-999	1.68	60	B	2	50	
560008	560008	560008	41.9	-122.1	4380.05	-999	1.8352	60	B	2	50	
560009	560009	560009	41.9	-122.0583	4356.82	-999	1.4589	60	B	2	50	
560011	560011	560011	41.9	-121.975	4241.99	-999	1.7651	60	B	2	50	
560012	560012	560012	41.9	-121.9333	4238.32	-999	1.784	60	B	2	50	
560013	560013	560013	41.9	-121.8917	4359.58	-999	1.3774	60	A	1	50	
560014	560014	560014	41.9	-121.85	5050.0	-999	1.3728	60	A	1	50	
560015	560015	560015	41.9	-121.8083	4272.44	-999	1.7738	60	A	1	50	
560016	560016	560016	41.9	-121.7667	4190.95	-999	2.2201	60	B	2	50	
560017	560017	560017	41.9	-121.725	4201.44	-999	1.7563	60	B	2	50	
560018	560018	560018	41.9	-121.6833	4103.02	-999	1.0634	60	B	2	50	
560019	560019	560019	41.9	-121.6417	4250.26	-999	2.8021	60	B	2	50	
560020	560020	560020	41.9	-121.6	4307.87	-999	1.4031	60	B	2	50	
