This file contains first (temporary) numbers of cutting cycles for dairy and beef hay, based on latitude. R.Allen 4/1/08
ET Cell ID	ET Cell Name	Lat	Number Dairy	Number Beef	null	null.1
569750	569750	42.1917	5	2		
569751	569751	42.1917	5	2		
569752	569752	42.1917	5	2		
569754	569754	42.1917	5	4		
569755	569755	42.1917	5	4		
569756	569756	42.1917	5	4		
569757	569757	42.1917	5	4		
569758	569758	42.1917	5	4		
569759	569759	42.1917	5	4		
569760	569760	42.1917	5	4		
569761	569761	42.1917	5	4		
569763	569763	42.1917	5	2		
569764	569764	42.1917	5	2		
569765	569765	42.1917	5	4		
569772	569772	42.1917	5	4		
569773	569773	42.1917	5	4		
569774	569774	42.1917	5	4		
569775	569775	42.1917	5	4		
569793	569793	42.1917	5	4		
569794	569794	42.1917	5	2		
569795	569795	42.1917	5	2		
569796	569796	42.1917	5	4		
569798	569798	42.1917	5	2		
569799	569799	42.1917	5	2		
