date,year,month,day,centroid_lat,centroid_lon,elev_m,u2_ms,tmin_c,tmax_c,srad_wm2,ea_kpa,pair_kpa,prcp_mm,etr_mm,eto_mm
1987-12-12,1987,12,12,40.9416666667,-118.1416666333,1291.7600097656,3.8893455909,-7.2500000000,1.2500000000,54.6000000000,0.2052716802,86.9340451125,0.0000000000,2.4000000000,1.5000000000
1987-12-13,1987,12,13,40.9416666667,-118.1416666333,1291.7600097656,2.9918043007,-9.9500000000,-0.3500000000,98.7000000000,0.1857377849,86.9340451125,0.0000000000,1.8000000000,1.1000000000
1987-12-14,1987,12,14,40.9416666667,-118.1416666333,1291.7600097656,1.0471315052,-13.2500000000,-0.0500000000,89.5000000000,0.1955051476,86.9340451125,0.0000000000,0.9000000000,0.6000000000
1987-12-15,1987,12,15,40.9416666667,-118.1416666333,1291.7600097656,1.2715168278,-9.0500000000,3.1500000000,74.9000000000,0.2429348158,86.9340451125,0.0000000000,1.2000000000,0.8000000000
1987-12-16,1987,12,16,40.9416666667,-118.1416666333,1291.7600097656,1.5706972579,-6.0500000000,6.4500000000,80.8000000000,0.3363418778,86.9340451125,0.0000000000,1.5000000000,0.9000000000
1987-12-17,1987,12,17,40.9416666667,-118.1416666333,1291.7600097656,0.9723363977,-6.2500000000,4.4500000000,70.6000000000,0.4366349853,86.9340451125,0.0000000000,0.7000000000,0.5000000000
1987-12-18,1987,12,18,40.9416666667,-118.1416666333,1291.7600097656,0.5235657526,-9.4500000000,3.4500000000,86.2000000000,0.3460964425,86.9340451125,0.0000000000,0.5000000000,0.4000000000
1987-12-19,1987,12,19,40.9416666667,-118.1416666333,1291.7600097656,1.0471315052,-8.9500000000,2.7500000000,96.5000000000,0.3447029840,86.9340451125,0.0000000000,0.7000000000,0.5000000000
1987-12-20,1987,12,20,40.9416666667,-118.1416666333,1291.7600097656,0.8227461827,-11.5500000000,1.5500000000,81.0000000000,0.3001033810,86.9340451125,0.0000000000,0.6000000000,0.4000000000
1987-12-21,1987,12,21,40.9416666667,-118.1416666333,1291.7600097656,1.3463119353,-5.8500000000,6.7500000000,58.9000000000,0.4672626310,86.9340451125,3.0000000000,1.0000000000,0.7000000000
1987-12-22,1987,12,22,40.9416666667,-118.1416666333,1291.7600097656,3.1413945157,-7.8500000000,5.5500000000,32.8000000000,0.4770060770,86.9340451125,6.5000000000,1.1000000000,0.7000000000
1987-12-23,1987,12,23,40.9416666667,-118.1416666333,1291.7600097656,2.9170091932,-10.6500000000,-1.3500000000,51.3000000000,0.2917390267,86.9340451125,0.0000000000,0.9000000000,0.6000000000
