LAT,LON,GRIDMET_ID,ELEV_M,ELEV_FT,FIPS_C,STPO,COUNTYNAME,CNTYCATEGO,STATENAME,HUC8,STATION_ID,GRID_FILE_PATH
45.525,-121.349999967,680608,621.24,2038.19,41065.0,OR,Wasco,County,Oregon,17070105,680608,E:\or_statewide\climate_data\gridmet_historical_680608.csv
45.525,-121.3083333,680609,556.64,1826.25,41065.0,OR,Wasco,County,Oregon,17070105,680609,E:\or_statewide\climate_data\gridmet_historical_680609.csv
45.525,-121.266666633,680610,597.04,1958.79,41065.0,OR,Wasco,County,Oregon,17070105,680610,E:\or_statewide\climate_data\gridmet_historical_680610.csv
45.525,-121.224999967,680611,483.84,1587.4,41065.0,OR,Wasco,County,Oregon,17070105,680611,E:\or_statewide\climate_data\gridmet_historical_680611.csv
45.525,-121.1833333,680612,379.24,1244.23,41065.0,OR,Wasco,County,Oregon,17070105,680612,E:\or_statewide\climate_data\gridmet_historical_680612.csv
45.525,-121.141666633,680613,336.96,1105.51,41065.0,OR,Wasco,County,Oregon,17070105,680613,E:\or_statewide\climate_data\gridmet_historical_680613.csv
45.525,-121.099999967,680614,311.08,1020.6,41065.0,OR,Wasco,County,Oregon,17070105,680614,E:\or_statewide\climate_data\gridmet_historical_680614.csv
45.525,-121.0583333,680615,337.2,1106.3,41065.0,OR,Wasco,County,Oregon,17070105,680615,E:\or_statewide\climate_data\gridmet_historical_680615.csv
45.525,-121.016666633,680616,347.16,1138.98,41065.0,OR,Wasco,County,Oregon,17070105,680616,E:\or_statewide\climate_data\gridmet_historical_680616.csv
45.525,-120.974999967,680617,372.72,1222.83,41065.0,OR,Wasco,County,Oregon,17070105,680617,E:\or_statewide\climate_data\gridmet_historical_680617.csv
45.525,-120.9333333,680618,437.6,1435.7,41065.0,OR,Wasco,County,Oregon,17070105,680618,E:\or_statewide\climate_data\gridmet_historical_680618.csv
45.525,-120.891666633,680619,409.44,1343.31,41065.0,OR,Wasco,County,Oregon,17070306,680619,E:\or_statewide\climate_data\gridmet_historical_680619.csv
45.525,-120.849999967,680620,350.28,1149.21,41055.0,OR,Sherman,County,Oregon,17070306,680620,E:\or_statewide\climate_data\gridmet_historical_680620.csv
45.525,-120.8083333,680621,436.96,1433.6,41055.0,OR,Sherman,County,Oregon,17070306,680621,E:\or_statewide\climate_data\gridmet_historical_680621.csv
45.525,-120.766666633,680622,593.24,1946.33,41055.0,OR,Sherman,County,Oregon,17070105,680622,E:\or_statewide\climate_data\gridmet_historical_680622.csv
45.525,-120.724999967,680623,585.36,1920.47,41055.0,OR,Sherman,County,Oregon,17070204,680623,E:\or_statewide\climate_data\gridmet_historical_680623.csv
45.525,-120.6833333,680624,540.0,1771.65,41055.0,OR,Sherman,County,Oregon,17070204,680624,E:\or_statewide\climate_data\gridmet_historical_680624.csv
45.525,-120.641666633,680625,501.68,1645.93,41055.0,OR,Sherman,County,Oregon,17070204,680625,E:\or_statewide\climate_data\gridmet_historical_680625.csv
45.525,-120.599999967,680626,469.4,1540.03,41055.0,OR,Sherman,County,Oregon,17070204,680626,E:\or_statewide\climate_data\gridmet_historical_680626.csv
45.525,-120.5583333,680627,470.0,1541.99,41055.0,OR,Sherman,County,Oregon,17070204,680627,E:\or_statewide\climate_data\gridmet_historical_680627.csv
45.525,-120.516666633,680628,470.16,1542.52,41055.0,OR,Sherman,County,Oregon,17070204,680628,E:\or_statewide\climate_data\gridmet_historical_680628.csv
45.525,-120.474999967,680629,474.08,1555.38,41055.0,OR,Sherman,County,Oregon,17070204,680629,E:\or_statewide\climate_data\gridmet_historical_680629.csv
