#  3 - Alfalfa Hay
Date,Year,Month,PMeto_mm,ETact,ETpot,ETbas,Kc,Kcb,PPT,Irrigation,Runoff,DPerc,P_rz,P_eft,P_rz_fraction,P_eft_fraction,NIWR,Season,Cutting
2001-05,2001,5,154.14113680849482,163.03488112949967,163.03488112949967,161.4823558368564,1.0366208443275142,1.023132161817693,8.5999999046,76.64548728914382,0.0,7.66454872891439,8.5999999046,8.338085084364762,1.0,0.9695447880068992,154.4348812248997,31, 0
2001-06,2001,6,148.49175192809844,187.07476913954227,187.07476913954227,185.0549129074102,1.2579040079057893,1.242962131800555,10.9000002146,221.72962902359592,0.0,22.172962902359593,10.9000002146,10.47641631449774,1.0,0.961139092498834,176.17476892494227,30, 0
2001-07,2001,7,167.17910537200143,141.55381237057463,141.55381237057463,132.1708200522854,0.8631197357996966,0.8067101542530253,30.400000035799998,108.6885193026319,0.0,10.86885193026319,30.400000035799998,25.406867634298877,1.0,0.8357522238282549,111.1538123347746,31, 1
2001-08,2001,8,162.15377667754706,201.02889614944453,201.02889614944453,199.29231527853054,1.2378952569056223,1.2274833287628415,2.2000000179,223.75357237284896,0.0,22.3753572372849,2.2000000179,1.8844401633694028,1.0,0.856563703653142,198.8288961315445,31, 0
2001-09,2001,9,112.09753220569925,32.16066115044766,39.38074412770301,20.103076284475073,0.3005066242018894,0.17070941903404668,20.9999999403,0.0,0.0,0.0,20.9999999403,11.569732054878887,1.0,0.5509396232271421,11.160661210147659,5, 1
2001-10,2001,10,68.58072130890255,4.221221462450407,10.062233418514516,6.858072130890257,0.08617881980431134,0.10000000000000005,9.3000003099,0.0,0.0,0.0,9.3000003099,6.378310070373711,1.0,0.6858397696593512,-5.078778847449593,0, 0
2001-11,2001,11,27.465600814747116,10.318121533150077,11.474601207779815,2.746560081474711,0.5636694439859599,0.10000000000000005,38.8000004887,0.0,0.8399868625517355,0.0,37.96001362614827,33.44010576039162,0.9783508543306239,0.8618583850309646,-27.641892092998184,0, 0
2001-12,2001,12,14.579365053795966,16.03730155917557,16.03730155917557,1.4579365053795972,1.1000000000000005,0.10000000000000005,51.800000190700004,0.0,1.4722437258529517,24.293853698847784,26.033902765999265,18.911507586917867,0.5025849936323611,0.36508701770841256,-9.996601206823694,0, 0
2002-01,2002,1,20.74821432579014,16.958425173380625,16.958425173380625,2.074821432579015,0.8436286431400424,0.10000000000000005,25.000000655800005,0.0,0.0,13.439800706924188,11.56019994887581,5.7941473962508425,0.4624079858251461,0.23176588977035084,5.398225224504816,0, 0
2002-02,2002,2,35.11015780516737,15.417757888770838,16.587690340467137,3.511015780516737,0.41975389773346566,0.10000000000000005,11.4000003337,0.0,0.0,0.0,11.4000003337,3.964666164696552,1.0,0.3477777235651865,4.017757555070839,0, 0
