HUC8_all,Year,ACRES FTR GEOM,ET VOLUME,EFF VOLUME,CU VOLUME,AW VOLUME,ET RATE,EFF RATE,CU RATE,AW RATE
Lower Crooked (17070305),2019,68390.76227378566,161528.07018097374,56942.06910221435,104586.0010787594,152363.88231239206,2.3618404710030236,0.8325988365835247,1.529241634419499,2.2278430192434557
Lower Crooked (17070305),2020,65680.17052467403,157618.15424019806,33556.1050148289,124062.04922536916,179394.54002614273,2.3997829631240943,0.5109016122639769,1.8888813508601177,2.7313348700693414
Lower Crooked (17070305),2021,61064.43511236497,146736.2677696265,32894.19984281047,113842.06792681603,164062.50491317123,2.4029742926404927,0.5386801627212582,1.864294129919235,2.6867112519960106
Lower Crooked (17070305),2022,59063.13784303497,137447.30610996066,32422.0964902017,105025.20961975893,152768.7046389377,2.327125024668312,0.5489396207896374,1.7781854038786737,2.5865321453955388
Lower Crooked (17070305),2023,63783.0167141453,151873.5862970003,40927.847993118405,110945.738303882,161611.86383562305,2.3810975730051815,0.6416731302713963,1.7394244427337868,2.533775794266909
Lower Crooked (17070305),2024,61960.900067282746,151373.04741706373,30915.320317072343,120457.72709999164,175371.7170437028,2.443041454412205,0.4989488578039004,1.9440925966083087,2.830361031767911
Lower Deschutes (17070306),1985,34953.19891965206,75283.27176196614,22107.004531401868,53176.2672305642,75245.00254923166,2.153830667545537,0.6324744290850141,1.5213562384605208,2.152735797435867
Lower Deschutes (17070306),1986,37231.9102063207,82686.71633595518,24835.364543563443,57851.35179239179,82329.71205003945,2.2208561386656385,0.6670451342930895,1.5538110043725506,2.211267474427425
Lower Deschutes (17070306),1987,33017.71337408069,72477.9569580687,23052.17863453618,49425.778323532446,70403.03630599707,2.195123451976077,0.6981761084834065,1.4969473434926686,2.132280800561565
Lower Deschutes (17070306),1988,34230.4164687022,73095.60800322081,21638.668152186972,51456.939851033865,73663.91543276589,2.1353993186163573,0.6321473819043889,1.5032519367119692,2.152001729225784
Lower Deschutes (17070306),1989,37139.76951974174,78576.7796156017,30763.046258708415,47813.733356893346,67721.69638398584,2.115704556912611,0.8283047163864664,1.2873998405261462,1.823428019605458
Lower Deschutes (17070306),1990,33345.956145264376,70531.45391551423,24079.46137100721,46451.99254450694,65929.58704462726,2.1151426460305816,0.7221103892211187,1.3930322568094606,1.9771388997640198
Lower Deschutes (17070306),1991,31922.711811435678,63790.9262620542,22415.119093948564,41375.80716810555,59236.112642909226,1.9982928342322837,0.7021683880226864,1.2961244462095947,1.8556102937874177
Lower Deschutes (17070306),1992,27444.336609584876,58729.51314580511,20133.265650443947,38596.24749536105,55343.36122143994,2.13995018284734,0.7336036551676912,1.406346527679645,2.0165676441277647
Lower Deschutes (17070306),1993,34585.84266936949,68814.80538753522,31442.403951708886,37372.40143582624,54193.87540577606,1.9896813284378978,0.9091119812314259,1.0805693472064692,1.5669381233198105
Lower Deschutes (17070306),1994,33105.40156804327,71254.17087397567,18782.305050531348,52471.86582344433,73710.35122914983,2.1523427446582466,0.5673486549295313,1.5849940897287154,2.226535481759648
Lower Deschutes (17070306),1995,35087.0080527867,75921.50543886182,35148.20214842633,40773.30329043543,58335.910175032644,2.1638067664430545,1.0017440670788333,1.1620626993642198,1.662607141859149
Lower Deschutes (17070306),1996,37770.807198704446,83249.68734430171,31341.199049806255,51908.488294495524,73307.54985440247,2.2040748800083154,0.8297730807003053,1.3743017993080118,1.9408520836938046
