OPENET_ID,OWRD
ORx_100884,2
ORx_100885,2
ORx_100886,2
ORx_100887,2
ORx_100888,2
ORx_100889,2
ORx_10089,7
ORx_100890,2
ORx_100891,2
ORx_100892,2
ORx_100893,2
ORx_100894,2
ORx_100895,2
ORx_100896,2
ORx_100897,2
ORx_100898,2
ORx_100899,2
ORx_1009,8
ORx_10090,7
ORx_100900,2
ORx_100901,2
ORx_100902,2
ORx_100903,2
ORx_100904,2
ORx_100905,2
ORx_100906,2
ORx_100907,2
ORx_100908,2
ORx_100909,2
ORx_10091,7
ORx_100910,2
ORx_100911,2
ORx_100912,2
ORx_100913,2
ORx_100914,2
ORx_100915,2
ORx_100916,2
ORx_100917,2
ORx_100918,2
ORx_100919,2
ORx_10092,7
ORx_100920,2
ORx_100921,2
ORx_100922,2
ORx_100923,2
ORx_100924,2
ORx_100925,2
ORx_100926,2
ORx_100927,2
ORx_100928,2
ORx_100929,2
ORx_10093,7
ORx_100930,2
ORx_100931,2
ORx_100932,2
ORx_100933,2
ORx_100934,2
ORx_100935,2
ORx_100936,2
ORx_100937,2
ORx_100938,2
ORx_100939,2
ORx_10094,7
ORx_100940,2
ORx_100941,2
ORx_100942,2
ORx_100943,2
ORx_100944,2
ORx_100945,2
ORx_100946,2
ORx_100947,2
ORx_100948,2
ORx_100949,2
ORx_10095,7
ORx_100950,2
ORx_100951,2
ORx_100952,2
ORx_100953,2
ORx_100954,2
ORx_100955,2
ORx_100956,2
ORx_100957,2
ORx_100958,2
ORx_100959,2
ORx_10096,7
ORx_100960,2
ORx_100961,2
ORx_100962,2
ORx_100963,2
ORx_100964,2
ORx_100965,2
ORx_100966,2
ORx_100967,2
ORx_100968,2
ORx_100969,2
ORx_10097,7
ORx_100970,2
ORx_100971,2
ORx_100972,2
ORx_100973,2
ORx_100974,2
ORx_100975,2
ORx_100976,2
ORx_100977,2
ORx_100978,2
ORx_100979,2
ORx_10098,7
ORx_100980,2
ORx_100981,2
ORx_100982,2
ORx_100983,2
ORx_100984,2
ORx_100985,2
ORx_100986,2
ORx_100987,2
ORx_100988,2
ORx_100989,2
ORx_10099,7
ORx_100990,2
ORx_100991,2
ORx_100992,2
ORx_100993,2
ORx_100994,2
ORx_100995,2
ORx_100996,2
ORx_100997,2
ORx_100998,2
ORx_100999,2
ORx_101,8
ORx_1010,8
ORx_10100,7
ORx_101000,2
ORx_101001,2
ORx_101002,2
ORx_101003,2
ORx_101004,2
ORx_101005,2
ORx_101006,2
ORx_101007,2
ORx_101008,2
ORx_101009,2
ORx_10101,7
ORx_101010,2
ORx_101011,2
ORx_101012,2
ORx_101013,2
ORx_101014,2
ORx_101015,2
ORx_101016,2
ORx_101017,2
ORx_101018,2
ORx_101019,2
ORx_10102,7
ORx_101020,2
ORx_101021,2
ORx_101022,2
ORx_101023,2
ORx_101024,2
ORx_101025,2
ORx_101026,2
ORx_101027,2
ORx_101028,2
ORx_101029,2
ORx_10103,7
ORx_101030,2
ORx_101031,2
ORx_101032,2
ORx_101033,2
ORx_101034,2
ORx_101035,2
ORx_101036,2
ORx_101037,2
ORx_101038,2
ORx_101039,2
ORx_10104,7
ORx_101040,2
ORx_101041,2
ORx_101042,2
ORx_101043,2
ORx_101044,2
ORx_101045,2
ORx_101046,2
ORx_101047,2
ORx_101048,2
ORx_101049,2
ORx_10105,7
ORx_101050,2
ORx_101051,2
ORx_101052,2
ORx_101053,2
ORx_101054,2
ORx_101055,2
ORx_101056,2
ORx_101057,2
ORx_101058,2
ORx_101059,2
ORx_10106,7
ORx_101060,2
ORx_101061,2
ORx_101062,2
ORx_101063,2
ORx_101064,2
ORx_101065,2
ORx_101066,2
ORx_101067,2
ORx_101068,2
ORx_101069,2
ORx_10107,7
ORx_101070,2
ORx_101071,2
ORx_101072,2
ORx_101073,2
ORx_101074,2
ORx_101075,2
ORx_101076,2
ORx_101077,2
ORx_101078,2
ORx_101079,2
ORx_10108,7
ORx_101080,2
ORx_101081,2
ORx_101082,2
ORx_101083,2
ORx_101084,2
ORx_101085,2
ORx_101086,2
ORx_101087,2
ORx_101088,2
ORx_101089,2
ORx_10109,7
ORx_101090,2
ORx_101091,2
ORx_101092,2
ORx_101093,2
ORx_101094,2
ORx_101095,2
